,Site,VisitRichnessPerFlower,VisitRichnessPerFlower_min,VisitRichnessPerFlower_max,APIS_visits_mean,APIS_visits_min,APIS_visits_max,BOMB_visits_mean,BOMB_visits_min,BOMB_visits_max,Other_visits_mean,Other_visits_min,Other_visits_max,APIS_rate_mean,APIS_rate_min,APIS_rate_max,BOMB_rate_mean,BOMB_rate_min,BOMB_rate_max,Other_rate_mean,Other_rate_min,Other_rate_max,APIS_visitdur_mean,APIS_visitdur_min,APIS_visitdur_max,BOMB_visitdur_mean,BOMB_visitdur_min,BOMB_visitdur_max,Other_visitdur_mean,Other_visitdur_min,Other_visitdur_max,APIS_visitdur2_mean,APIS_visitdur2_min,APIS_visitdur2_max,APIS_visitdur3_mean,APIS_visitdur3_min,APIS_visitdur3_max,APIS_visitdur4_mean,APIS_visitdur4_min,APIS_visitdur4_max,APIS_visitdur5_mean,APIS_visitdur5_min,APIS_visitdur5_max,BOMB_visitdur2_mean,BOMB_visitdur2_min,BOMB_visitdur2_max,BOMB_visitdur3_mean,BOMB_visitdur3_min,BOMB_visitdur3_max,BOMB_visitdur4_mean,BOMB_visitdur4_min,BOMB_visitdur4_max,BOMB_visitdur5_mean,BOMB_visitdur5_min,BOMB_visitdur5_max,Other_visitdur2_mean,Other_visitdur2_min,Other_visitdur2_max,Other_visitdur3_mean,Other_visitdur3_min,Other_visitdur3_max,Other_visitdur4_mean,Other_visitdur4_min,Other_visitdur4_max,Other_visitdur5_mean,Other_visitdur5_min,Other_visitdur5_max
1,BP,2.375,1,5,1.75,0,7,9.25,0,25,1.625,0,7,0.0546608884375,0,0.215495126,0.288579493,0,0.797024442,0.0506248333815957,0,0.215495125727603,34.3325892857143,0,219.25,19.5668711180124,0,70,12.9446428571429,0,58.6,4.02827380952381,0,23,0.291666666666667,0,2.5,2.0014880952381,0,11,28.0111607142857,0,197.75,0.827341485507246,0,3.125,0.034375,0,0.55,2.50293025362319,0,6.4,16.170974378882,0,67,6.35,0,33.6666666666667,1.39821428571429,0,14.3333333333333,1,0,6.33333333333333,4.19642857142857,0,45.4
2,E,1.125,0,3,0,0,0,1.625,0,8,7.3125,0,43,0,0,0,0.049368518875,0,0.262582057,0.228650849881292,0,1.40522875816993,0,0,0,20.3885416666667,0,222.75,19.0107761061613,0,113.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.2859375,0,4,0,0,0,1.29739583333333,0,7,17.8364583333333,0,218.75,1.00385394644116,0,12,0.0227272727272727,0,0.363636363636364,5.6258675312091,0,50.6666666666667,12.3583273557838,0,60
3,GT,1.94117647058824,0,5,0.235294117647059,0,3,4.47058823529412,0,15,1.41176470588235,0,8,0.00668258952941177,0,0.082834791,0.145190881058824,0,0.555555556,0.0503497018187704,0,0.245649948797784,5.3921568627451,0,90.6666666666667,18.9001867413632,0,42.3333333333333,13.2598039215686,0,85,5.09803921568628,0,86.6666666666667,0,0,0,0.294117647058824,0,4,0,0,0,0.976377217553688,0,6,0,0,0,2.63398692810458,0,9,15.2898225957049,0,39.6666666666667,5.54411764705882,0,32.75,5.12009803921569,0,46.375,1.49264705882353,0,12,1.10294117647059,0,14.75
4,K,1.0625,0,3,0,0,0,1.3125,0,6,1.3125,0,4,0,0,0,0.0400113154375,0,0.183392766,0.0400891609878659,0,0.128893662742094,0,0,0,15.40625,0,65,31.0833333333333,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0.854166666666667,0,4.33333333333333,0.03125,0,0.5,0.802083333333333,0,3,13.65625,0,60.5,10.1302083333333,0,69.25,18.1510416666667,0,80,2.64583333333333,0,14,0.125,0,2
5,PL,2.4375,1,5,1,0,7,4.4375,0,15,3.25,0,12,0.0322958268125,0,0.221052632,0.1443027715625,0,0.474433316,0.107743710972868,0,0.398450470348816,8.77976190476191,0,64.3333333333333,20.6344494047619,0,107,14.4364583333333,0,117.25,2.30952380952381,0,11.6666666666667,4.65773809523809,0,52.6666666666667,0.223214285714286,0,3,1.58928571428571,0,17.4285714285714,1.60238095238095,0,4,0.665104166666667,0,8.375,2.1046130952381,0,14.2857142857143,14.1998511904762,0,103,5.70034722222222,0,23.4,6.234375,0,99.75,1.21388888888889,0,9.08333333333333,1.28784722222222,0,9
6,PR,2.3125,1,4,0.125,0,2,8.4375,0,38,19,0,136,0.0040849673125,0,0.065359477,0.2730891916875,0,1.241830065,0.648598890850163,0,4.57142857142857,5.28125,0,84.5,11.9936066352378,0,40.2941176470588,63.7115545300288,0,484,3.9375,0,63,0.65625,0,10.5,0.21875,0,3.5,0.46875,0,7.5,0.548604905478938,0,4,0,0,0,1.26044151362698,0,4.58333333333333,9.92781679507928,0,37.7647058823529,17.2915935031744,0,75.7272727272727,15.168264105856,0,116,8.68580987027678,0,26.3333333333333,22.5642700844907,0,295
