,Genus,Site,Visit,N_tested,N_postive
1,Apis,BP,1,8,4
2,Apis,BP,2,8,7
3,Apis,E,1,8,6
4,Apis,E,2,8,4
5,Apis,GT,1,7,3
6,Apis,GT,2,5,5
7,Apis,K,1,3,2
8,Apis,K,2,5,3
9,Apis,PL,1,8,5
10,Apis,PL,2,8,8
11,Apis,PR,2,7,4
12,Bombus,BP,1,8,7
13,Bombus,BP,2,8,8
14,Bombus,E,1,7,2
15,Bombus,E,2,8,4
16,Bombus,GT,1,8,4
17,Bombus,GT,2,7,4
18,Bombus,K,1,7,4
19,Bombus,K,2,8,4
20,Bombus,PL,1,7,5
21,Bombus,PL,2,8,8
22,Bombus,PR,1,2,1
23,Bombus,PR,2,8,4
