,Site,VisitRichnessPerFlower,VisitRichnessPerFlower_min,VisitRichnessPerFlower_max,APIS_visits_mean,APIS_visits_min,APIS_visits_max,BOMB_visits_mean,BOMB_visits_min,BOMB_visits_max,PEPO_visits_mean,PEPO_visits_min,PEPO_visits_max,Other_visits_mean,Other_visits_min,Other_visits_max,APIS_rate_mean,APIS_rate_min,APIS_rate_max,BOMB_rate_mean,BOMB_rate_min,BOMB_rate_max,PEPO_rate_mean,PEPO_rate_min,PEPO_rate_max,Other_rate_mean,Other_rate_min,Other_rate_max,APIS_visitdur_mean,APIS_visitdur_min,APIS_visitdur_max,BOMB_visitdur_mean,BOMB_visitdur_min,BOMB_visitdur_max,PEPO_visitdur_mean,PEPO_visitdur_min,PEPO_visitdur_max,Other_visitdur_mean,Other_visitdur_min,Other_visitdur_max,APIS_visitdur2_mean,APIS_visitdur2_min,APIS_visitdur2_max,APIS_visitdur3_mean,APIS_visitdur3_min,APIS_visitdur3_max,APIS_visitdur4_mean,APIS_visitdur4_min,APIS_visitdur4_max,APIS_visitdur5_mean,APIS_visitdur5_min,APIS_visitdur5_max,BOMB_visitdur2_mean,BOMB_visitdur2_min,BOMB_visitdur2_max,BOMB_visitdur3_mean,BOMB_visitdur3_min,BOMB_visitdur3_max,BOMB_visitdur4_mean,BOMB_visitdur4_min,BOMB_visitdur4_max,BOMB_visitdur5_mean,BOMB_visitdur5_min,BOMB_visitdur5_max,PEPO_visitdur2_mean,PEPO_visitdur2_min,PEPO_visitdur2_max,PEPO_visitdur3_mean,PEPO_visitdur3_min,PEPO_visitdur3_max,PEPO_visitdur4_mean,PEPO_visitdur4_min,PEPO_visitdur4_max,PEPO_visitdur5_mean,PEPO_visitdur5_min,PEPO_visitdur5_max,Other_visitdur2_mean,Other_visitdur2_min,Other_visitdur2_max,Other_visitdur3_mean,Other_visitdur3_min,Other_visitdur3_max,Other_visitdur4_mean,Other_visitdur4_min,Other_visitdur4_max,Other_visitdur5_mean,Other_visitdur5_min,Other_visitdur5_max
1,BP,2.375,1,5,1.75,0,7,9.25,0,25,0.6875,0,4,1.0625,0,4,0.0546608884375,0,0.215495126,0.288579493,0,0.797024442,0.0208745770625,0,0.112464855,0.0333602865126096,0,0.123140071844345,34.3325892857143,0,219.25,19.5668711180124,0,70,10.7916666666667,0,126.5,30.3697916666667,0,318,4.02827380952381,0,23,0.291666666666667,0,2.5,2.0014880952381,0,11,28.0111607142857,0,197.75,0.827341485507246,0,3.125,0.034375,0,0.55,2.50293025362319,0,6.4,16.170974378882,0,67,1.22916666666667,0,10.5,0.078125,0,1.25,0.6875,0,4,8.796875,0,113.5,9.42708333333333,0,50.5,2.13541666666667,0,21.5,20.4114583333333,0,308.5,7.16666666666667,0,75.6666666666667
2,E,1.125,0,3,0,0,0,1.625,0,8,6.9375,0,43,0.375,0,3,0,0,0,0.049368518875,0,0.262582057,0.2176083465625,0,1.405228758,0.0110425032998571,0,0.081781008639871,0,0,0,20.3885416666667,0,222.75,21.8867230758582,0,166.5,4.79166666666667,0,54.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.2859375,0,4,0,0,0,1.29739583333333,0,7,17.8364583333333,0,218.75,0.0362403100775194,0,0.5,0,0,0,7.14821601605759,0,76,14.7022667497231,0,90,1.95833333333333,0,12,0.25,0,4,15.2708333333333,0,152,33.5416666666667,0,228
3,GT,1.94117647058824,0,5,0.235294117647059,0,3,4.47058823529412,0,15,0.235294117647059,0,2,1.35294117647059,0,8,0.00668258952941177,0,0.082834791,0.145190881058824,0,0.555555556,0.00938428935294118,0,0.067264574,0.0481833737892765,0,0.245649948797784,5.3921568627451,0,90.6666666666667,18.9001867413632,0,42.3333333333333,3,0,40,14.6029411764706,0,85,5.09803921568628,0,86.6666666666667,0,0,0,0.294117647058824,0,4,0,0,0,0.976377217553688,0,6,0,0,0,2.63398692810458,0,9,15.2898225957049,0,39.6666666666667,0.117647058823529,0,1,0,0,0,0.411764705882353,0,6,2.47058823529412,0,34,6.95588235294118,0,43,5.28676470588235,0,46.375,2.19852941176471,0,24,1.33823529411765,0,14.75
4,K,1.0625,0,3,0,0,0,1.3125,0,6,0.0625,0,1,1.25,0,4,0,0,0,0.0400113154375,0,0.183392766,0.0020139635,0,0.032223416,0.0380751975075207,0,0.126849894305164,0,0,0,15.40625,0,65,0.3125,0,5,32.6197916666667,0,103.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.854166666666667,0,4.33333333333333,0.03125,0,0.5,0.802083333333333,0,3,13.65625,0,60.5,0.3125,0,5,0,0,0,0,0,0,0,0,0,11.5729166666667,0,92.3333333333333,18.3385416666667,0,80,2.65625,0,14,0.125,0,2
5,PL,2.4375,1,5,1,0,7,4.4375,0,15,2.125,0,12,1.3125,0,5,0.0322958268125,0,0.221052632,0.1443027715625,0,0.474433316,0.070345904875,0,0.39845047,0.0435148909881556,0,0.168067226890756,8.77976190476191,0,64.3333333333333,20.6344494047619,0,107,3.44816468253968,0,15,15.71875,0,117.25,2.30952380952381,0,11.6666666666667,4.65773809523809,0,52.6666666666667,0.223214285714286,0,3,1.58928571428571,0,17.4285714285714,1.60238095238095,0,4,0.665104166666667,0,8.375,2.1046130952381,0,14.2857142857143,14.1998511904762,0,103,0.667410714285714,0,6,0,0,0,1.20709325396825,0,12.1111111111111,1.57366071428571,0,9,9.265625,0,58.5,6.234375,0,99.75,2.55729166666667,0,27.25,0.916666666666667,0,7
6,PR,2.3125,1,4,0.125,0,2,8.4375,0,38,1.1875,0,12,18.125,0,135,0.0040849673125,0,0.065359477,0.2730891916875,0,1.241830065,0.038940853125,0,0.390879479,0.619929379086595,0,4.53781512605042,5.28125,0,84.5,11.9936066352378,0,40.2941176470588,10.3541666666667,0,137,65.4722685946951,0,484,3.9375,0,63,0.65625,0,10.5,0.21875,0,3.5,0.46875,0,7.5,0.548604905478938,0,4,0,0,0,1.26044151362698,0,4.58333333333333,9.92781679507928,0,37.7647058823529,0.0104166666666667,0,0.166666666666667,0,0,0,4.41145833333333,0,66.75,5.93229166666667,0,70.25,19.2690415657327,0,92.5555555555556,15.7477645992352,0,116,9.08929310069016,0,26.3333333333333,22.1697442943766,0,295
