,BOAU,BOBI,BOFE,BOGR,BOIM,BOPE,BOSA,BOVA
BP1,0,0,0,1,37,0,0,0
BP2,0,0,0,1,89,0,2,0
E1,0,1,1,0,4,1,0,0
E2,3,0,0,1,72,0,0,0
GT1,0,0,0,1,39,0,0,0
GT2,0,0,1,0,66,0,0,1
K1,0,0,0,0,53,0,0,0
K2,0,0,0,0,36,0,0,0
PL1,0,0,0,0,18,0,0,0
PL2,0,0,0,2,87,0,0,0
PR1,0,0,0,0,3,0,0,0
PR2,0,0,0,0,164,0,0,0
