Sample,18S,Nosema,Transect.ID,Individual.ID,Year,Site,Visit,Site_Visit,Lat,Long,Date_Collected,Type,Family,Genus,Species,Code,Sex,Date_ID,ID_Initials,Dissection_Date,Dissect_Intials,Notes
4137,1,1,BP16A2N,BP16A2N-24,2016,BP,2,BP2,42.5732,-84.38707,8/26/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/10/2016,MZ,7/31/2017,MZ,
2240,1,0,E16D1N,E16D1N-141,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/6/2016,MZ,5/1/2017,MZ,glob on corbicula is funky green color
2279,1,1,E16C1P,E16C1P-180,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/8/2016,MZ,5/1/2017,MZ,
2280,1,1,E16C1P,E16C1P-181,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/9/2016,MZ,5/17/2017,MZ,
2239,1,1,E16D1N,E16D1N-140,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/6/2016,MZ,5/17/2017,MZ,patch between thorax and abdomen - think it is just part of plant
2238,1,1,E16D1N,E16D1N-139,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/6/2016,MZ,6/19/2017,MZ,
2237,1,1,E16D1N,E16D1N-138,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/6/2016,MZ,6/19/2017,MZ,
2242,1,0,E16D1N,E16D1N-143,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/6/2016,MZ,6/22/2017,MZ,
2281,1,1,E16C1P,E16C1P-182,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/9/2016,MZ,7/31/2017,MZ,
2236,1,0,E16D1N,E16D1N-137,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Bombus,fervidus,BOFE,Female,12/6/2016,MZ,5/11/2017,MZ,
2232,1,0,E16D1N,E16D1N-133,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Bombus,bimaculatus,BOBI,Female,12/6/2016,MZ,5/17/2017,MZ,
2231,1,1,E16D1N,E16D1N-132,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Bombus,pensylvanicus,BOPE,Female,12/2/2016,MZ,6/19/2017,MZ,Queen
2233,1,0,E16D1N,E16D1N-134,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,12/6/2016,MZ,6/22/2017,MZ,Attached to spider
2234,1,0,E16D1N,E16D1N-135,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,12/6/2016,MZ,7/31/2017,MZ,
